#关卡编号	关卡名称	战斗编号	关卡种类	分歧编号	是否重复任务	出现机率权重	显示条件	进入条件	关闭条件	限制回合	关卡图标位置	关卡说明	限定角色	经验奖励	威望奖励	金钱奖励	道具奖励	战前对话
#Number	Name	Battle Area	Type	iGroup	iRepeat	Weights	Display	Enter	Close	Round	Location	Desc	Shaq	EXP	Fame	Money	Item	BeTalk
500027	真假龙宫	8710027	1	0	0	0	(25,500026,0,0)	0	0	0	400027	敖舵主，按照您的指示，咱们揪出了不少可疑的帮众，本待将他们押至地牢，可他们却突然发难，展开了攻击，请敖舵主率众驰援！	0	0	0	3000	0	0
500028	真假神枪	8710028	1	0	0	0	(25,500027,0,0)	0	0	0	400028	罗舵主，按照孟大人传来的指示，咱们揪出了不少可疑的帮众，本待将他们押至地牢，可他们却突然发难，展开了攻击，请罗舵主率众驰援！	0	0	0	3000	0	0
500029	后金叛乱	8710029	1	0	0	0	(25,500028,0,0)	0	0	0	400029	舵主，正如孟大人所料，后金国来的那些东北狗听闻咱们要开始捉捕他们，马脚便露了出来，开始对咱们发起攻击了，请舵主迅速驰援镇压！	0	0	0	3200	0	0
500030	天意刺客	8710030	1	0	0	0	(25,500029,0,0)	0	0	0	400030	有刺客尾随！保护帮主！	0	0	0	3200	0	0
500031	护卫霹雳	8710031	1	0	0	0	(25,500030,0,0)	0	0	0	400031	帮主，霹雳堂秦堂主传来求援的请求，天龙教又对霹雳堂的车队发起一波新的攻击了！	0	0	0	3200	0	0
500032	护卫天山	8710032	1	0	0	0	(25,500031,0,0)	0	0	0	400032	帮主，天山派何掌门传来求援的请求，天龙教又对天山派发起一波新的攻击了！	0	0	0	3200	0	0
500033	俘虏救助	8710033	1	0	0	0	(25,500032,0,0)	0	0	0	400033	帮主，成都城内传来还有帮众，以及绝刀门和百草门的门人困于其中的消息，得尽快将弟兄们救出！	0	0	0	3200	0	0
500034	海鲨巡守	8710034	1	0	0	0	(25,500033,0,0)	0	0	0	400034	帮主，熊帮主的海鲨帮在东海作业时遭遇倭寇余孽，请咱们派遣人手相援！	0	0	0	3200	0	0
500035	野兽训练	8710035	1	0	0	0	(25,500034,0,0)	0	0	0	400035	老大，咱们新训练了一批野兽，您可要亲自试试牠们？	0	0	0	3200	0	0
500036	护卫青城	8710036	1	0	0	0	(25,500035,0,0)	0	0	0	400036	帮主，青霞子道长回报，青城山附近再度发现天龙教的踪迹，请求我等派遣支持！	0	0	0	3200	0	0
500037	锦衣袭击	8710037	1	0	0	0	(25,500036,0,0)	0	0	0	400037	是朝廷派来的锦衣卫！保护帮主！	0	0	0	3200	0	0
500038	护卫莆田	8710038	1	0	0	0	(25,500037,0,0)	0	0	0	400038	帮主，聂大人传来消息，南少林再度受到了天龙教的袭击，此外朝廷官兵亦在此刻发动攻击，我等当尽速驰援南少林！	0	0	0	3200	0	0
500039	天龙刺探	8710039	1	0	0	0	(25,500038,0,0)	0	0	0	400039	帮主，陈公公手下的东厂杀手替我等探得了天龙教的情报，但撤退途中不慎被发现，需要我等接应支持！	0	0	0	3500	0	0
500040	火炮夺取	8710040	1	0	0	0	(25,500039,0,0)	0	0	0	400040	帮主，陈公公手下的东厂杀手替我等盗得了数门朝廷火炮，但撤退途中不慎被发现，需要我等接应支持！	0	0	0	3500	0	0
